,real,prediccion
2026-03-23,4.0,
2026-03-24,6.0,
2026-03-25,6.400000095367432,8.899999618530273
2026-03-26,4.300000190734863,6.400000095367432
2026-03-27,6.800000190734863,4.300000190734863
2026-03-28,,6.800000190734863
2026-03-29,7.0,5.800000190734863
2026-03-30,15.399999618530272,7.0
2026-03-31,6.599999904632568,9.0
2026-04-01,5.699999809265137,4.400000095367432
2026-04-02,1.0,5.699999809265137
2026-04-03,4.0,6.099999904632568
2026-04-04,9.0,6.199999809265137
2026-04-05,11.0,4.400000095367432
2026-04-06,2.0,7.800000190734863
2026-04-07,8.300000190734863,13.600000381469728
2026-04-08,8.5,8.300000190734863
2026-04-09,7.199999809265137,8.5
2026-04-10,11.100000381469728,7.199999809265137
2026-04-11,29.200000762939453,11.100000381469728
2026-04-12,,18.600000381469727
2026-04-13,,8.199999809265137
2026-04-14,,15.600000381469728
2026-04-15,,25.200000762939453
2026-04-30,144.0,
2026-05-01,144.0,
2026-05-02,65.0,
2026-05-03,282.0,
2026-05-04,232.0,171.1999969482422
2026-05-05,19.0,122.5
2026-05-06,16.0,19.299999237060547
2026-05-07,40.0,21.700000762939453
2026-05-08,43.0,15.300000190734863
2026-05-09,39.0,14.5
2026-05-10,13.0,19.700000762939453
2026-05-11,215.0,32.79999923706055
2026-05-12,123.0,
2026-05-13,33.0,
2026-05-14,52.0,24.600000381469727
2026-05-15,35.0,27.299999237060547
2026-05-16,76.0,30.200000762939453
2026-05-17,79.0,32.70000076293945
2026-05-18,170.0,96.0
2026-05-19,308.0,38.70000076293945
2026-05-20,116.0,192.8000030517578
2026-05-21,101.0,185.0
2026-05-22,108.0,251.1000061035156
2026-05-23,98.0,38.400001525878906
2026-05-24,154.0,37.09999847412109
2026-05-25,108.0,44.20000076293945
2026-05-26,,175.5
2026-05-27,,43.29999923706055
2026-05-28,64.0,39.59999847412109
2026-05-29,64.0,45.29999923706055
2026-05-30,160.0,39.59999847412109
2026-05-31,156.0,
2026-06-01,196.0,
2026-06-02,182.0,
2026-06-03,130.0,112.3000030517578
2026-06-04,196.0,109.5
2026-06-05,,113.0
2026-06-06,,28.0
2026-06-07,,38.900001525878906
2026-06-08,,21.0
2026-06-09,,21.399999618530277
2026-06-10,,23.0
