,real,prediccion
2026-03-23,0.0,
2026-03-24,0.0,
2026-03-25,2.799999952316284,4.0
2026-03-26,1.899999976158142,2.799999952316284
2026-03-27,0.8999999761581421,1.899999976158142
2026-03-28,,0.8999999761581421
2026-03-29,1.5,1.2000000476837158
2026-03-30,3.299999952316284,1.5
2026-03-31,1.899999976158142,2.900000095367432
2026-04-01,,2.0
2026-04-02,0.0,2.0999999046325684
2026-04-03,0.0,2.0
2026-04-04,0.0,2.0
2026-04-05,1.0,1.7999999523162842
2026-04-06,0.0,5.099999904632568
2026-04-07,4.099999904632568,6.099999904632568
2026-04-08,4.800000190734863,4.099999904632568
2026-04-09,3.299999952316284,4.800000190734863
2026-04-10,2.299999952316284,3.299999952316284
2026-04-11,3.299999952316284,2.299999952316284
2026-04-12,,4.5
2026-04-13,,3.900000095367432
2026-04-14,,6.699999809265137
2026-04-15,,11.899999618530272
2026-04-30,339.0,
2026-05-01,339.0,
2026-05-02,387.0,
2026-05-03,533.0,
2026-05-04,176.0,21.799999237060547
2026-05-05,22.0,16.700000762939453
2026-05-06,8.0,1.7000000476837158
2026-05-07,87.0,9.199999809265137
2026-05-08,14.800000190734863,10.300000190734863
2026-05-09,145.0,12.5
2026-05-10,22.0,24.100000381469727
2026-05-11,228.0,17.899999618530273
2026-05-12,90.0,
2026-05-13,11.0,
2026-05-14,47.0,9.5
2026-05-15,16.0,20.5
2026-05-16,38.0,10.399999618530272
2026-05-17,65.0,12.600000381469728
2026-05-18,142.0,19.600000381469727
2026-05-19,198.0,64.0
2026-05-20,163.0,121.9000015258789
2026-05-21,342.0,70.9000015258789
2026-05-22,301.0,97.9000015258789
2026-05-23,476.0,23.100000381469727
2026-05-24,684.0,19.200000762939453
2026-05-25,664.0,21.200000762939453
2026-05-26,,63.900001525878906
2026-05-27,,24.39999961853028
2026-05-28,90.0,32.5
2026-05-29,97.0,19.200000762939453
2026-05-30,90.0,16.600000381469727
2026-05-31,101.0,
2026-06-01,58.0,
2026-06-02,41.0,
2026-06-03,43.0,29.700000762939453
2026-06-04,35.0,15.800000190734863
2026-06-05,,21.299999237060547
2026-06-06,,22.799999237060547
2026-06-07,,32.70000076293945
2026-06-08,,9.0
2026-06-09,,5.699999809265137
2026-06-10,,6.800000190734863
