,real,prediccion
2026-03-23,15.0,
2026-03-24,26.0,
2026-03-25,1.899999976158142,0.8999999761581421
2026-03-26,4.300000190734863,1.899999976158142
2026-03-27,4.300000190734863,4.300000190734863
2026-03-28,,4.300000190734863
2026-03-29,5.099999904632568,4.900000095367432
2026-03-30,5.599999904632568,5.099999904632568
2026-03-31,3.900000095367432,4.5
2026-04-01,,2.400000095367432
2026-04-02,5.0,2.900000095367432
2026-04-03,37.0,2.900000095367432
2026-04-04,16.0,2.799999952316284
2026-04-05,15.0,2.5999999046325684
2026-04-06,19.0,1.2999999523162842
2026-04-07,0.1000000014901161,0.3000000119209289
2026-04-08,1.7999999523162842,0.1000000014901161
2026-04-09,3.400000095367432,1.7999999523162842
2026-04-10,3.5,3.400000095367432
2026-04-11,5.800000190734863,3.5
2026-04-12,,3.700000047683716
2026-04-13,,3.0999999046325684
2026-04-14,,6.599999904632568
2026-04-15,,5.199999809265137
2026-04-30,3.0,
2026-05-01,3.0,
2026-05-02,1.0,
2026-05-03,3.0,
2026-05-04,6.0,3.299999952316284
2026-05-05,0.0,3.400000095367432
2026-05-06,0.0,2.299999952316284
2026-05-07,2.0,4.5
2026-05-08,3.5,5.599999904632568
2026-05-09,2.0,2.700000047683716
2026-05-10,0.0,2.799999952316284
2026-05-11,1.0,3.5999999046325684
2026-05-12,6.0,
2026-05-13,0.0,
2026-05-14,10.0,3.0
2026-05-15,0.0,4.0
2026-05-16,0.0,4.5
2026-05-17,6.0,3.700000047683716
2026-05-18,2.0,5.800000190734863
2026-05-19,2.0,2.400000095367432
2026-05-20,2.0,4.0
2026-05-21,7.0,4.300000190734863
2026-05-22,5.0,3.700000047683716
2026-05-23,4.0,1.899999976158142
2026-05-24,1.0,3.0999999046325684
2026-05-25,5.0,4.400000095367432
2026-05-26,,4.199999809265137
2026-05-27,,1.899999976158142
2026-05-28,6.0,4.199999809265137
2026-05-29,5.0,3.900000095367432
2026-05-30,3.0,3.200000047683716
2026-05-31,1.0,
2026-06-01,13.0,
2026-06-02,4.0,
2026-06-03,18.0,3.900000095367432
2026-06-04,9.0,6.0
2026-06-05,,5.900000095367432
2026-06-06,,4.800000190734863
2026-06-07,,4.099999904632568
2026-06-08,,4.0
2026-06-09,,2.299999952316284
2026-06-10,,3.200000047683716
