,real,prediccion
2026-03-23,10.0,
2026-03-24,24.0,
2026-03-25,6.199999809265137,10.800000190734863
2026-03-26,4.599999904632568,6.199999809265137
2026-03-27,3.700000047683716,4.599999904632568
2026-03-28,,3.700000047683716
2026-03-29,3.5,4.400000095367432
2026-03-30,5.400000095367432,3.400000095367432
2026-03-31,3.700000047683716,4.400000095367432
2026-04-01,,3.700000047683716
2026-04-02,7.0,2.400000095367432
2026-04-03,7.0,3.5999999046325684
2026-04-04,6.0,5.300000190734863
2026-04-05,13.0,3.900000095367432
2026-04-06,,8.699999809265137
2026-04-07,,5.699999809265137
2026-04-08,,4.0
2026-04-09,,3.5
2026-04-10,,5.599999904632568
