,real,prediccion
2026-03-23,4.0,
2026-03-24,6.0,
2026-03-25,6.400000095367432,8.899999618530273
2026-03-26,4.300000190734863,6.400000095367432
2026-03-27,6.800000190734863,4.300000190734863
2026-03-28,,6.800000190734863
2026-03-29,7.0,5.800000190734863
2026-03-30,15.399999618530272,7.0
2026-03-31,6.599999904632568,9.0
2026-04-01,5.699999809265137,4.400000095367432
2026-04-02,4.0,5.699999809265137
2026-04-03,4.0,6.099999904632568
2026-04-04,9.0,6.199999809265137
2026-04-05,6.0,4.400000095367432
2026-04-06,12.199999809265137,7.800000190734863
2026-04-07,6.199999809265137,12.199999809265137
2026-04-08,4.300000190734863,6.199999809265137
2026-04-09,7.300000190734863,4.300000190734863
2026-04-10,,7.400000095367432
