,real,prediccion
2026-03-23,0.0,
2026-03-24,0.0,
2026-03-25,1.0,27.5
2026-03-26,1.600000023841858,1.0
2026-03-27,2.200000047683716,1.600000023841858
2026-03-28,,2.200000047683716
2026-03-29,0.5,1.399999976158142
2026-03-30,9.199999809265137,0.800000011920929
2026-03-31,11.199999809265137,1.2000000476837158
2026-04-01,,1.600000023841858
2026-04-02,0.0,1.5
2026-04-03,0.0,2.200000047683716
2026-04-04,2.0,1.0
2026-04-05,804.0,1.2999999523162842
2026-04-06,,3.5
2026-04-07,,3.200000047683716
2026-04-08,,2.700000047683716
2026-04-09,,7.900000095367432
2026-04-10,,6.900000095367432
