,real,prediccion
2026-03-23,1.0,
2026-03-24,0.0,
2026-03-25,0.8999999761581421,3.0
2026-03-26,0.4000000059604645,0.8999999761581421
2026-03-27,0.4000000059604645,0.4000000059604645
2026-03-28,,0.4000000059604645
2026-03-29,0.3000000119209289,0.4000000059604645
2026-03-30,0.5,0.3000000119209289
2026-03-31,0.800000011920929,0.4000000059604645
2026-04-01,,0.699999988079071
2026-04-02,1.0,0.5
2026-04-03,1.0,0.6000000238418579
2026-04-04,0.0,0.5
2026-04-05,1.0,0.6000000238418579
2026-04-06,,3.200000047683716
2026-04-07,,0.8999999761581421
2026-04-08,,1.0
2026-04-09,,1.0
2026-04-10,,2.299999952316284
