,real,prediccion
2026-03-23,15.0,
2026-03-24,26.0,
2026-03-25,1.899999976158142,0.8999999761581421
2026-03-26,4.300000190734863,1.899999976158142
2026-03-27,4.300000190734863,4.300000190734863
2026-03-28,,4.300000190734863
2026-03-29,5.099999904632568,4.900000095367432
2026-03-30,5.599999904632568,5.099999904632568
2026-03-31,3.900000095367432,4.5
2026-04-01,,2.400000095367432
2026-04-02,37.0,2.900000095367432
2026-04-03,37.0,2.900000095367432
2026-04-04,16.0,2.799999952316284
2026-04-05,15.0,2.5999999046325684
2026-04-06,,1.2999999523162842
2026-04-07,,1.5
2026-04-08,,2.200000047683716
2026-04-09,,2.700000047683716
2026-04-10,,3.0999999046325684
