fecha,granos_de_polen_x_metro_cubico,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),cloud_cover (%),shortwave_radiation (W/m²),Benceno (ug/m3),CO (mg/m3),NO (ug/m3),NO2 (ug/m3),NOx (ug/m3),O3 (ug/m3),PM10 (ug/m3),PM2.5 (ug/m3),SO2 (ug/m3),Tolueno (ug/m3),isPrediction,precip_autumn_last_year,precip_winter_last_year,temp_mean_spring_summer_last,humidity_sum_spring_summer_last,co2_mean_april_may_last,o3_mean_april_may_last,no2_mean_april_may_last,drought_days_summer_last,growing_degree_days_last,polen_rolling_mean_3d,polen_rolling_mean_7d,polen_lag_1,polen_rolling_mean_3d_lag_1,polen_rolling_mean_7d_lag_1,polen_lag_2,polen_rolling_mean_3d_lag_2,polen_rolling_mean_7d_lag_2,polen_lag_3,polen_rolling_mean_3d_lag_3,polen_rolling_mean_7d_lag_3,polen_lag_7,polen_rolling_mean_3d_lag_7,polen_rolling_mean_7d_lag_7,polen_lag_14,polen_rolling_mean_3d_lag_14,polen_rolling_mean_7d_lag_14,polen_trend_3d,polen_accel,NO2 (ug/m3)_lag_1,NO2 (ug/m3)_lag_2,NO2 (ug/m3)_lag_3,NO2 (ug/m3)_lag_7,NO2 (ug/m3)_lag_14,O3 (ug/m3)_lag_1,O3 (ug/m3)_lag_2,O3 (ug/m3)_lag_3,O3 (ug/m3)_lag_7,O3 (ug/m3)_lag_14,PM10 (ug/m3)_lag_1,PM10 (ug/m3)_lag_2,PM10 (ug/m3)_lag_3,PM10 (ug/m3)_lag_7,PM10 (ug/m3)_lag_14,PM2.5 (ug/m3)_lag_1,PM2.5 (ug/m3)_lag_2,PM2.5 (ug/m3)_lag_3,PM2.5 (ug/m3)_lag_7,PM2.5 (ug/m3)_lag_14,CO (mg/m3)_lag_1,CO (mg/m3)_lag_2,CO (mg/m3)_lag_3,CO (mg/m3)_lag_7,CO (mg/m3)_lag_14,SO2 (ug/m3)_lag_1,SO2 (ug/m3)_lag_2,SO2 (ug/m3)_lag_3,SO2 (ug/m3)_lag_7,SO2 (ug/m3)_lag_14,Benceno (ug/m3)_lag_1,Benceno (ug/m3)_lag_2,Benceno (ug/m3)_lag_3,Benceno (ug/m3)_lag_7,Benceno (ug/m3)_lag_14,Tolueno (ug/m3)_lag_1,Tolueno (ug/m3)_lag_2,Tolueno (ug/m3)_lag_3,Tolueno (ug/m3)_lag_7,Tolueno (ug/m3)_lag_14,NO (ug/m3)_lag_1,NO (ug/m3)_lag_2,NO (ug/m3)_lag_3,NO (ug/m3)_lag_7,NO (ug/m3)_lag_14,NOx (ug/m3)_lag_1,NOx (ug/m3)_lag_2,NOx (ug/m3)_lag_3,NOx (ug/m3)_lag_7,NOx (ug/m3)_lag_14,temperature_2m (°C)_lag_1,temperature_2m (°C)_lag_2,temperature_2m (°C)_lag_3,temperature_2m (°C)_lag_7,temperature_2m (°C)_lag_14,wind_speed_10m (km/h)_lag_1,wind_speed_10m (km/h)_lag_2,wind_speed_10m (km/h)_lag_3,wind_speed_10m (km/h)_lag_7,wind_speed_10m (km/h)_lag_14,wind_gusts_10m (km/h)_lag_1,wind_gusts_10m (km/h)_lag_2,wind_gusts_10m (km/h)_lag_3,wind_gusts_10m (km/h)_lag_7,wind_gusts_10m (km/h)_lag_14,relative_humidity_2m (%)_lag_1,relative_humidity_2m (%)_lag_2,relative_humidity_2m (%)_lag_3,relative_humidity_2m (%)_lag_7,relative_humidity_2m (%)_lag_14,wind_direction_10m (°)_lag_1,wind_direction_10m (°)_lag_2,wind_direction_10m (°)_lag_3,wind_direction_10m (°)_lag_7,wind_direction_10m (°)_lag_14,et0_fao_evapotranspiration (mm)_lag_1,et0_fao_evapotranspiration (mm)_lag_2,et0_fao_evapotranspiration (mm)_lag_3,et0_fao_evapotranspiration (mm)_lag_7,et0_fao_evapotranspiration (mm)_lag_14,dew_point_2m (°C)_lag_1,dew_point_2m (°C)_lag_2,dew_point_2m (°C)_lag_3,dew_point_2m (°C)_lag_7,dew_point_2m (°C)_lag_14,rain (mm)_lag_1,rain (mm)_lag_2,rain (mm)_lag_3,rain (mm)_lag_7,rain (mm)_lag_14,vapour_pressure_deficit (kPa)_lag_1,vapour_pressure_deficit (kPa)_lag_2,vapour_pressure_deficit (kPa)_lag_3,vapour_pressure_deficit (kPa)_lag_7,vapour_pressure_deficit (kPa)_lag_14,cloud_cover (%)_lag_1,cloud_cover (%)_lag_2,cloud_cover (%)_lag_3,cloud_cover (%)_lag_7,cloud_cover (%)_lag_14,shortwave_radiation (W/m²)_lag_1,shortwave_radiation (W/m²)_lag_2,shortwave_radiation (W/m²)_lag_3,shortwave_radiation (W/m²)_lag_7,shortwave_radiation (W/m²)_lag_14,temp_diff_3d,humidity_drop_2d,viento_x_temperatura,defici_pression_vap_mean_3d,days_from_start
2014-01-01,0.0,1.0666666666666669,12.283333333333331,22.1875,89.375,173.54166666666666,0.01125,-0.525,0.0,1.2291666666666667,0.3748333333333333,0.07375,73.875,28.416666666666668,0.5,0.2,16.0,35.0,60.0,27.0,9.0,7.0,6.0,0.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.102222222222222,,-150
2014-01-02,1.0,3.341666666666667,15.9625,28.45,85.95833333333333,171.0,0.0158333333333333,1.1708333333333334,0.0,2.2125,0.3710416666666666,0.1154166666666666,93.41666666666669,21.75,0.5,0.2,35.0,45.0,98.0,26.0,9.0,7.0,6.0,1.6,0,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,35.0,,,,,27.0,,,,,9.0,,,,,7.0,,,,,0.2,,,,,6.0,,,,,0.5,,,,,0.8,,,,,16.0,,,,,60.0,,,,,1.0666666666666669,,,,,12.283333333333331,,,,,22.1875,,,,,89.375,,,,,173.54166666666666,,,,,0.01125,,,,,-0.525,,,,,0.0,,,,,0.07375,,,,,73.875,,,,,28.416666666666668,,,,,,,53.34135416666667,,-149
2014-01-03,0.0,5.5875,14.808333333333335,27.83333333333333,87.875,195.54166666666663,0.0183333333333333,3.6833333333333336,0.0,4.016666666666667,0.3681666666666667,0.11875,61.04166666666666,35.958333333333336,0.5,0.2,36.0,49.0,104.0,26.0,12.0,8.0,4.0,2.4,0,,,,,,,,,,0.3333333333333333,,1.0,,,0.0,,,,,,,,,,,,,,45.0,35.0,,,,26.0,27.0,,,,9.0,9.0,,,,7.0,7.0,,,,0.2,0.2,,,,6.0,6.0,,,,0.5,0.5,,,,1.6,0.8,,,,35.0,16.0,,,,98.0,60.0,,,,3.341666666666667,1.0666666666666669,,,,15.9625,12.283333333333331,,,,28.45,22.1875,,,,85.95833333333333,89.375,,,,171.0,173.54166666666666,,,,0.0158333333333333,0.01125,,,,1.1708333333333334,-0.525,,,,0.0,0.0,,,,0.1154166666666666,0.07375,,,,93.41666666666669,73.875,,,,21.75,28.416666666666668,,,,,-1.5,82.74156250000001,0.1026388888888888,-148
2014-01-04,0.0,6.216666666666666,15.016666666666666,29.95,85.125,171.16666666666666,0.0204166666666666,3.904166666666667,0.0458333333333333,4.8500000000000005,0.3737083333333333,0.1420833333333333,72.29166666666667,31.625,0.4,0.1,14.0,32.0,53.0,46.0,8.0,5.0,4.0,0.9,0,,,,,,,,,,0.3333333333333333,,0.0,0.3333333333333333,,1.0,,,0.0,,,,,,,,,0.0,-2.0,49.0,45.0,35.0,,,26.0,26.0,27.0,,,12.0,9.0,9.0,,,8.0,7.0,7.0,,,0.2,0.2,0.2,,,4.0,6.0,6.0,,,0.5,0.5,0.5,,,2.4,1.6,0.8,,,36.0,35.0,16.0,,,104.0,98.0,60.0,,,5.5875,3.341666666666667,1.0666666666666669,,,14.808333333333335,15.9625,12.283333333333331,,,27.83333333333333,28.45,22.1875,,,87.875,85.95833333333333,89.375,,,195.54166666666663,171.0,173.54166666666666,,,0.0183333333333333,0.0158333333333333,0.01125,,,3.6833333333333336,1.1708333333333334,-0.525,,,0.0,0.0,0.0,,,0.11875,0.1154166666666666,0.07375,,,61.04166666666666,93.41666666666669,73.875,,,35.958333333333336,21.75,28.416666666666668,,,5.149999999999999,-0.8333333333333286,93.35361111111108,0.1254166666666666,-147
2014-01-05,4.0,4.9875,12.566666666666668,23.804166666666664,91.95833333333331,227.375,0.0095833333333333,3.7708333333333335,0.0083333333333333,4.5125,0.3717916666666667,0.0716666666666666,76.75,13.75,0.5,0.2,16.0,36.0,61.0,38.0,14.0,8.0,4.0,1.1,0,,,,,,,,,,1.3333333333333333,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,1.0,,,,,,,,,-1.0,1.0,32.0,49.0,45.0,,,46.0,26.0,26.0,,,8.0,12.0,9.0,,,5.0,8.0,7.0,,,0.1,0.2,0.2,,,4.0,4.0,6.0,,,0.4,0.5,0.5,,,0.9,2.4,1.6,,,14.0,36.0,35.0,,,53.0,104.0,98.0,,,6.216666666666666,5.5875,3.341666666666667,,,15.016666666666666,14.808333333333335,15.9625,,,29.95,27.83333333333333,28.45,,,85.125,87.875,85.95833333333333,,,171.16666666666666,195.54166666666663,171.0,,,0.0204166666666666,0.0183333333333333,0.0158333333333333,,,3.904166666666667,3.6833333333333336,1.1708333333333334,,,0.0458333333333333,0.0,0.0,,,0.1420833333333333,0.11875,0.1154166666666666,,,72.29166666666667,61.04166666666666,93.41666666666669,,,31.625,35.958333333333336,21.75,,,1.645833333333333,4.083333333333314,62.67625,0.1108333333333333,-146
2014-01-06,1.0,4.495833333333334,16.375,30.575,87.375,192.75,0.0154166666666666,2.5166666666666666,0.1208333333333333,3.525,0.3735,0.1145833333333333,69.70833333333333,20.75,0.5,0.2,18.0,43.0,69.0,28.0,16.0,9.0,4.0,1.0,0,,,,,,,,,,1.6666666666666667,,4.0,1.3333333333333333,,0.0,0.3333333333333333,,0.0,0.3333333333333333,,,,,,,,4.0,4.0,36.0,32.0,49.0,,,38.0,46.0,26.0,,,14.0,8.0,12.0,,,8.0,5.0,8.0,,,0.2,0.1,0.2,,,4.0,4.0,4.0,,,0.5,0.4,0.5,,,1.1,0.9,2.4,,,16.0,14.0,36.0,,,61.0,53.0,104.0,,,4.9875,6.216666666666666,5.5875,,,12.566666666666668,15.016666666666666,14.808333333333335,,,23.804166666666664,29.95,27.83333333333333,,,91.95833333333331,85.125,87.875,,,227.375,171.16666666666666,195.54166666666663,,,0.0095833333333333,0.0204166666666666,0.0183333333333333,,,3.7708333333333335,3.904166666666667,3.6833333333333336,,,0.0083333333333333,0.0458333333333333,0.0,,,0.0716666666666666,0.1420833333333333,0.11875,,,76.75,72.29166666666667,61.04166666666666,,,13.75,31.625,35.958333333333336,,,-1.0916666666666668,2.25,73.61927083333333,0.1094444444444444,-145
2014-01-07,1.0,8.104166666666666,17.341666666666665,33.395833333333336,86.70833333333333,211.4583333333333,0.0208333333333333,6.025,0.225,6.0875,0.4048333333333333,0.1445833333333333,48.04166666666666,40.66666666666666,0.8,0.3,38.0,56.0,115.0,16.0,20.0,12.0,6.0,2.6,0,,,,,,,,,,2.0,1.0,1.0,1.6666666666666667,,4.0,1.3333333333333333,,0.0,0.3333333333333333,,,,,,,,1.0,-7.0,43.0,36.0,32.0,,,28.0,38.0,46.0,,,16.0,14.0,8.0,,,9.0,8.0,5.0,,,0.2,0.2,0.1,,,4.0,4.0,4.0,,,0.5,0.5,0.4,,,1.0,1.1,0.9,,,18.0,16.0,14.0,,,69.0,61.0,53.0,,,4.495833333333334,4.9875,6.216666666666666,,,16.375,12.566666666666668,15.016666666666666,,,30.575,23.804166666666664,29.95,,,87.375,91.95833333333331,85.125,,,192.75,227.375,171.16666666666666,,,0.0154166666666666,0.0095833333333333,0.0204166666666666,,,2.5166666666666666,3.7708333333333335,3.904166666666667,,,0.1208333333333333,0.0083333333333333,0.0458333333333333,,,0.1145833333333333,0.0716666666666666,0.1420833333333333,,,69.70833333333333,76.75,72.29166666666667,,,20.75,13.75,31.625,,,1.8875,-5.249999999999986,140.53975694444443,0.1102777777777777,-144
2014-01-08,0.0,7.6875,16.412499999999998,32.65416666666667,87.875,232.0,0.01625,5.779166666666666,0.2541666666666666,6.145833333333333,0.4134166666666667,0.1320833333333333,77.0,22.45833333333333,1.3,0.6,67.0,71.0,174.0,8.0,23.0,15.0,15.0,7.0,0,,,,,,,,,,0.6666666666666666,1.0,1.0,2.0,1.0,1.0,1.6666666666666667,,4.0,1.3333333333333333,,0.0,,,,,,-3.0,3.0,56.0,43.0,36.0,35.0,,16.0,28.0,38.0,27.0,,20.0,16.0,14.0,9.0,,12.0,9.0,8.0,7.0,,0.3,0.2,0.2,0.2,,6.0,4.0,4.0,6.0,,0.8,0.5,0.5,0.5,,2.6,1.0,1.1,0.8,,38.0,18.0,16.0,16.0,,115.0,69.0,61.0,60.0,,8.104166666666666,4.495833333333334,4.9875,1.0666666666666669,,17.341666666666665,16.375,12.566666666666668,12.283333333333331,,33.395833333333336,30.575,23.804166666666664,22.1875,,86.70833333333333,87.375,91.95833333333331,89.375,,211.4583333333333,192.75,227.375,173.54166666666666,,0.0208333333333333,0.0154166666666666,0.0095833333333333,0.01125,,6.025,2.5166666666666666,3.7708333333333335,-0.525,,0.225,0.1208333333333333,0.0083333333333333,0.0,,0.1445833333333333,0.1145833333333333,0.0716666666666666,0.07375,,48.04166666666666,69.70833333333333,76.75,73.875,,40.66666666666666,20.75,13.75,28.416666666666668,,2.7,0.5,126.17109374999998,0.1304166666666666,-143
2014-01-09,0.0,8.133333333333333,19.825,38.30416666666667,85.83333333333333,212.91666666666663,0.0291666666666666,5.820833333333333,0.0833333333333333,6.233333333333333,0.4018333333333333,0.1675,97.0,22.625,1.4,0.7,82.0,74.0,199.0,9.0,24.0,15.0,17.0,6.5,0,,,,,,,,,,0.3333333333333333,0.8571428571428571,0.0,0.6666666666666666,1.0,1.0,2.0,1.0,1.0,1.6666666666666667,,1.0,,,,,,-1.0,-1.0,71.0,56.0,43.0,45.0,,8.0,16.0,28.0,26.0,,23.0,20.0,16.0,9.0,,15.0,12.0,9.0,7.0,,0.6,0.3,0.2,0.2,,15.0,6.0,4.0,6.0,,1.3,0.8,0.5,0.5,,7.0,2.6,1.0,1.6,,67.0,38.0,18.0,35.0,,174.0,115.0,69.0,98.0,,7.6875,8.104166666666666,4.495833333333334,3.341666666666667,,16.412499999999998,17.341666666666665,16.375,15.9625,,32.65416666666667,33.395833333333336,30.575,28.45,,87.875,86.70833333333333,87.375,85.95833333333333,,232.0,211.4583333333333,192.75,171.0,,0.01625,0.0208333333333333,0.0154166666666666,0.0158333333333333,,5.779166666666666,6.025,2.5166666666666666,1.1708333333333334,,0.2541666666666666,0.225,0.1208333333333333,0.0,,0.1320833333333333,0.1445833333333333,0.1145833333333333,0.1154166666666666,,77.0,48.04166666666666,69.70833333333333,93.41666666666669,,22.45833333333333,40.66666666666666,20.75,21.75,,3.6374999999999993,-0.875,161.2433333333333,0.1480555555555555,-142
2014-01-10,2.0,5.841666666666666,24.90833333333333,49.99166666666667,75.70833333333333,259.0,0.0416666666666666,1.8625,0.0208333333333333,5.670833333333333,0.3949583333333333,0.2270833333333333,71.95833333333333,23.791666666666668,1.4,0.7,85.0,72.0,203.0,8.0,26.0,14.0,19.0,6.9,0,,,,,,,,,,0.6666666666666666,1.1428571428571428,0.0,0.3333333333333333,0.8571428571428571,0.0,0.6666666666666666,1.0,1.0,2.0,1.0,0.0,0.3333333333333333,,,,,-1.0,1.0,74.0,71.0,56.0,49.0,,9.0,8.0,16.0,26.0,,24.0,23.0,20.0,12.0,,15.0,15.0,12.0,8.0,,0.7,0.6,0.3,0.2,,17.0,15.0,6.0,4.0,,1.4,1.3,0.8,0.5,,6.5,7.0,2.6,2.4,,82.0,67.0,38.0,36.0,,199.0,174.0,115.0,104.0,,8.133333333333333,7.6875,8.104166666666666,5.5875,,19.825,16.412499999999998,17.341666666666665,14.808333333333335,,38.30416666666667,32.65416666666667,33.395833333333336,27.83333333333333,,85.83333333333333,87.875,86.70833333333333,87.875,,212.91666666666663,232.0,211.4583333333333,195.54166666666663,,0.0291666666666666,0.01625,0.0208333333333333,0.0183333333333333,,5.820833333333333,5.779166666666666,6.025,3.6833333333333336,,0.0833333333333333,0.2541666666666666,0.225,0.0,,0.1675,0.1320833333333333,0.1445833333333333,0.11875,,97.0,77.0,48.04166666666666,61.04166666666666,,22.625,22.45833333333333,40.66666666666666,35.958333333333336,,-2.2625,-12.166666666666671,145.50618055555552,0.1755555555555555,-141
