tipo_polinico,granos_de_polen_x_metro_cubico,fecha
Olivo,0.0,2021-01-01
Olivo,0.0,2021-01-02
Olivo,0.0,2021-01-03
Olivo,0.0,2021-01-04
Olivo,0.0,2021-01-05
Olivo,0.0,2021-01-06
Olivo,0.0,2021-01-07
Olivo,0.0,2021-01-08
Olivo,0.0,2021-01-09
Olivo,0.0,2021-01-10
Olivo,,2021-01-11
Olivo,,2021-01-12
Olivo,,2021-01-13
Olivo,,2021-01-14
Olivo,,2021-01-15
Olivo,,2021-01-16
Olivo,,2021-01-17
Olivo,,2021-01-18
Olivo,,2021-01-19
Olivo,,2021-01-20
Olivo,,2021-01-21
Olivo,,2021-01-22
Olivo,,2021-01-23
Olivo,,2021-01-24
Olivo,0.0,2021-01-25
Olivo,0.0,2021-01-26
Olivo,0.0,2021-01-27
Olivo,0.0,2021-01-28
Olivo,0.0,2021-01-29
Olivo,0.0,2021-01-30
Olivo,0.0,2021-01-31
Olivo,0.0,2021-02-01
Olivo,0.0,2021-02-02
Olivo,0.0,2021-02-03
Olivo,0.0,2021-02-04
Olivo,0.0,2021-02-05
Olivo,0.0,2021-02-06
Olivo,0.0,2021-02-07
Olivo,0.0,2021-02-08
Olivo,0.0,2021-02-09
Olivo,0.0,2021-02-10
Olivo,0.0,2021-02-11
Olivo,0.0,2021-02-12
Olivo,0.0,2021-02-13
Olivo,0.0,2021-02-14
Olivo,0.0,2021-02-15
Olivo,0.0,2021-02-16
Olivo,0.0,2021-02-17
Olivo,0.0,2021-02-18
Olivo,0.0,2021-02-19
Olivo,0.0,2021-02-20
Olivo,0.0,2021-02-21
Olivo,0.0,2021-02-22
Olivo,0.0,2021-02-23
Olivo,0.0,2021-02-24
Olivo,0.0,2021-02-25
Olivo,0.0,2021-02-26
Olivo,0.0,2021-02-27
Olivo,0.0,2021-02-28
Olivo,0.0,2021-03-01
Olivo,0.0,2021-03-02
Olivo,0.0,2021-03-03
Olivo,0.0,2021-03-04
Olivo,0.0,2021-03-05
Olivo,0.0,2021-03-06
Olivo,0.0,2021-03-07
Olivo,0.0,2021-03-08
Olivo,0.0,2021-03-09
Olivo,0.0,2021-03-10
Olivo,0.0,2021-03-11
Olivo,0.0,2021-03-12
Olivo,0.0,2021-03-13
Olivo,0.0,2021-03-14
Olivo,0.0,2021-03-15
Olivo,0.0,2021-03-16
Olivo,0.0,2021-03-17
Olivo,0.0,2021-03-18
Olivo,0.0,2021-03-19
Olivo,0.0,2021-03-20
Olivo,0.0,2021-03-21
Olivo,0.0,2021-03-22
Olivo,0.0,2021-03-23
Olivo,0.0,2021-03-24
Olivo,0.0,2021-03-25
Olivo,0.0,2021-03-26
Olivo,0.0,2021-03-27
Olivo,0.0,2021-03-28
