time,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),vapour_pressure_deficit (kPa),cloud_cover (%),shortwave_radiation (W/m²)
2024-01-01T00:00,4.9,14.1,23.4,87,199,0.00,3.0,0.00,4.4,0.395,0.11,100,0.0
2024-01-01T01:00,5.3,13.7,24.1,85,198,0.01,3.1,0.00,4.8,0.398,0.13,100,0.0
2024-01-01T02:00,5.0,14.0,23.4,85,198,0.01,2.7,0.00,4.5,0.397,0.13,99,0.0
2024-01-01T03:00,4.6,14.5,24.5,86,199,0.01,2.4,0.00,4.2,0.396,0.12,68,0.0
2024-01-01T04:00,4.3,14.0,24.1,87,198,0.00,2.3,0.00,4.1,0.396,0.11,14,0.0
2024-01-01T05:00,3.8,14.0,23.4,88,203,0.00,2.1,0.00,3.8,0.395,0.09,29,0.0
2024-01-01T06:00,3.7,14.3,23.8,89,205,0.00,2.1,0.00,3.7,0.394,0.09,59,0.0
2024-01-01T07:00,3.4,13.9,23.8,90,205,0.00,1.9,0.00,3.5,0.394,0.08,52,0.0
2024-01-01T08:00,3.8,14.2,23.8,90,204,0.01,2.3,0.00,3.5,0.393,0.08,90,10.0
2024-01-01T09:00,4.8,15.3,25.2,88,204,0.02,3.0,0.00,3.9,0.392,0.11,80,66.0
2024-01-01T10:00,6.3,17.5,28.8,83,212,0.05,3.7,0.00,4.6,0.392,0.16,35,150.0
2024-01-01T11:00,7.2,19.7,33.5,78,230,0.07,3.6,0.00,5.2,0.391,0.22,100,135.0
2024-01-01T12:00,6.2,18.4,36.0,83,219,0.05,3.6,0.60,5.3,0.395,0.16,97,77.0
2024-01-01T13:00,7.3,13.8,29.9,81,227,0.05,4.2,0.60,5.9,0.401,0.20,47,103.0
2024-01-01T14:00,7.3,18.4,30.2,79,235,0.05,4.0,0.00,5.9,0.400,0.22,94,83.0
2024-01-01T15:00,6.8,17.5,31.7,79,233,0.04,3.5,0.00,5.8,0.399,0.20,100,11.0
2024-01-01T16:00,6.3,15.3,29.5,82,231,0.01,3.5,0.20,5.6,0.399,0.17,98,0.0
2024-01-01T17:00,5.7,14.0,25.2,85,226,0.01,3.4,0.00,5.2,0.398,0.13,94,0.0
2024-01-01T18:00,5.1,15.3,25.6,86,227,0.01,3.0,0.10,4.8,0.398,0.12,59,0.0
2024-01-01T19:00,4.8,16.5,27.4,87,238,0.01,2.8,0.00,4.6,0.397,0.11,48,0.0
2024-01-01T20:00,4.7,15.9,27.7,88,242,0.00,2.8,0.10,4.4,0.397,0.10,55,0.0
2024-01-01T21:00,4.3,16.9,28.4,88,243,0.00,2.5,0.20,4.2,0.398,0.10,49,0.0
2024-01-01T22:00,3.6,17.2,32.0,90,241,0.00,2.1,0.10,4.0,0.398,0.08,81,0.0
2024-01-01T23:00,4.1,13.6,28.8,90,238,0.00,2.7,0.00,4.0,0.397,0.08,100,0.0
2024-01-02T00:00,4.8,13.9,22.7,89,239,0.00,3.1,0.00,4.2,0.396,0.09,100,0.0
2024-01-02T01:00,4.3,11.5,19.8,89,224,0.00,2.7,0.00,5.1,0.391,0.09,93,0.0
2024-01-02T02:00,3.8,12.0,20.5,90,219,0.00,2.3,0.00,4.5,0.390,0.08,93,0.0
2024-01-02T03:00,2.9,11.6,20.5,91,210,0.00,1.6,0.00,4.0,0.390,0.06,100,0.0
2024-01-02T04:00,2.5,10.2,19.4,93,188,0.00,1.5,0.00,3.6,0.389,0.05,100,0.0
2024-01-02T05:00,2.5,11.5,19.4,94,178,0.00,1.6,0.00,3.3,0.389,0.05,100,0.0
2024-01-02T06:00,2.5,11.7,19.4,94,162,0.00,1.5,0.00,3.2,0.389,0.05,100,0.0
2024-01-02T07:00,2.7,14.4,24.1,94,148,0.00,1.8,0.00,3.2,0.388,0.04,100,0.0
2024-01-02T08:00,3.2,16.3,27.0,93,149,0.01,2.2,0.10,3.3,0.388,0.05,100,5.0
2024-01-02T09:00,4.0,17.9,29.9,92,152,0.02,2.8,0.30,3.6,0.390,0.07,100,24.0
2024-01-02T10:00,4.7,19.1,32.4,92,148,0.02,3.5,0.70,4.0,0.398,0.07,100,30.0
2024-01-02T11:00,4.8,19.4,33.8,93,149,0.02,3.7,0.50,4.2,0.403,0.06,100,30.0
2024-01-02T12:00,4.8,20.2,35.6,93,149,0.02,3.7,0.20,4.4,0.404,0.06,100,25.0
2024-01-02T13:00,4.9,18.1,34.2,92,139,0.02,3.7,0.00,4.5,0.405,0.07,100,27.0
2024-01-02T14:00,4.8,16.8,31.0,94,133,0.02,3.9,1.50,4.6,0.423,0.05,100,16.0
2024-01-02T15:00,4.8,14.8,28.4,95,133,0.01,4.0,0.10,4.6,0.419,0.05,100,6.0
2024-01-02T16:00,4.9,13.2,25.2,95,133,0.00,4.2,0.10,4.6,0.418,0.04,100,0.0
2024-01-02T17:00,5.1,13.6,22.7,95,130,0.00,4.3,0.20,4.7,0.417,0.04,100,0.0
2024-01-02T18:00,5.4,12.7,22.3,96,145,0.00,4.8,0.20,4.8,0.417,0.04,100,0.0
2024-01-02T19:00,6.3,13.5,22.3,95,171,0.00,5.6,0.80,4.9,0.424,0.05,100,0.0
2024-01-02T20:00,6.9,13.1,24.1,94,172,0.00,6.1,1.10,5.3,0.431,0.06,100,0.0
