tipo_polinico,granos_de_polen_x_metro_cubico,fecha
Pl?tano de paseo,0.0,2021-01-01
Pl?tano de paseo,0.0,2021-01-02
Pl?tano de paseo,1.0,2021-01-03
Pl?tano de paseo,0.0,2021-01-04
Pl?tano de paseo,0.0,2021-01-05
Pl?tano de paseo,0.0,2021-01-06
Pl?tano de paseo,0.0,2021-01-07
Pl?tano de paseo,0.0,2021-01-08
Pl?tano de paseo,0.0,2021-01-09
Pl?tano de paseo,0.0,2021-01-10
Pl?tano de paseo,,2021-01-11
Pl?tano de paseo,,2021-01-12
Pl?tano de paseo,,2021-01-13
Pl?tano de paseo,,2021-01-14
Pl?tano de paseo,,2021-01-15
Pl?tano de paseo,,2021-01-16
Pl?tano de paseo,,2021-01-17
Pl?tano de paseo,,2021-01-18
Pl?tano de paseo,,2021-01-19
Pl?tano de paseo,,2021-01-20
Pl?tano de paseo,,2021-01-21
Pl?tano de paseo,,2021-01-22
Pl?tano de paseo,,2021-01-23
Pl?tano de paseo,,2021-01-24
Pl?tano de paseo,0.0,2021-01-25
Pl?tano de paseo,0.0,2021-01-26
Pl?tano de paseo,0.0,2021-01-27
Pl?tano de paseo,0.0,2021-01-28
Pl?tano de paseo,0.0,2021-01-29
Pl?tano de paseo,0.0,2021-01-30
Pl?tano de paseo,0.0,2021-01-31
Pl?tano de paseo,0.0,2021-02-01
Pl?tano de paseo,0.0,2021-02-02
Pl?tano de paseo,0.0,2021-02-03
Pl?tano de paseo,0.0,2021-02-04
Pl?tano de paseo,0.0,2021-02-05
Pl?tano de paseo,0.0,2021-02-06
Pl?tano de paseo,0.0,2021-02-07
Pl?tano de paseo,0.0,2021-02-08
Pl?tano de paseo,0.0,2021-02-09
Pl?tano de paseo,0.0,2021-02-10
Pl?tano de paseo,0.0,2021-02-11
Pl?tano de paseo,1.0,2021-02-12
Pl?tano de paseo,0.0,2021-02-13
Pl?tano de paseo,0.0,2021-02-14
Pl?tano de paseo,1.0,2021-02-15
Pl?tano de paseo,0.0,2021-02-16
Pl?tano de paseo,0.0,2021-02-17
Pl?tano de paseo,0.0,2021-02-18
Pl?tano de paseo,0.0,2021-02-19
Pl?tano de paseo,0.0,2021-02-20
Pl?tano de paseo,0.0,2021-02-21
Pl?tano de paseo,0.0,2021-02-22
Pl?tano de paseo,0.0,2021-02-23
Pl?tano de paseo,0.0,2021-02-24
Pl?tano de paseo,0.0,2021-02-25
Pl?tano de paseo,0.0,2021-02-26
Pl?tano de paseo,0.0,2021-02-27
Pl?tano de paseo,0.0,2021-02-28
Pl?tano de paseo,0.0,2021-03-01
Pl?tano de paseo,1.0,2021-03-02
Pl?tano de paseo,1.0,2021-03-03
Pl?tano de paseo,0.0,2021-03-04
Pl?tano de paseo,6.0,2021-03-05
Pl?tano de paseo,15.0,2021-03-06
Pl?tano de paseo,7.0,2021-03-07
Pl?tano de paseo,11.0,2021-03-08
