captador;fecha_lectura;tipo_polinico;granos_de_polen_x_metro_cubico
ALCO;2024/01/01 00:00:00.000;Abedul;0
ALCO;2024/01/01 00:00:00.000;Aligustre;0
ALCO;2024/01/01 00:00:00.000;Aliso;0
ALCO;2024/01/01 00:00:00.000;Arce;0
ALCO;2024/01/01 00:00:00.000;Artemisia;0
ALCO;2024/01/01 00:00:00.000;Castaño;0
ALCO;2024/01/01 00:00:00.000;Compuestas;0
ALCO;2024/01/01 00:00:00.000;Corylus;0
ALCO;2024/01/01 00:00:00.000;Cupresáceas/Taxáceas;518
ALCO;2024/01/01 00:00:00.000;Ericaceae;0
ALCO;2024/01/01 00:00:00.000;Eucalipto;0
ALCO;2024/01/01 00:00:00.000;Fresno;3
ALCO;2024/01/01 00:00:00.000;Gramíneas;1
ALCO;2024/01/01 00:00:00.000;Moreras;0
ALCO;2024/01/01 00:00:00.000;Olivo;0
ALCO;2024/01/01 00:00:00.000;Olmos;0
ALCO;2024/01/01 00:00:00.000;Otros;1
ALCO;2024/01/01 00:00:00.000;Pinos;0
ALCO;2024/01/01 00:00:00.000;Plantago;0
ALCO;2024/01/01 00:00:00.000;Plátano de paseo;0
ALCO;2024/01/01 00:00:00.000;PNI (Polen no identificado);1
ALCO;2024/01/01 00:00:00.000;Populus;0
ALCO;2024/01/01 00:00:00.000;Quenopodiáceas/Amarantáceas;0
ALCO;2024/01/01 00:00:00.000;Quercus;0
ALCO;2024/01/01 00:00:00.000;Rumex (Acederas);0
ALCO;2024/01/01 00:00:00.000;Sauces;0
ALCO;2024/01/01 00:00:00.000;Urticaceae (Ortigas);1
ALCO;2024/01/02 00:00:00.000;Abedul;0
ALCO;2024/01/02 00:00:00.000;Aligustre;0
ALCO;2024/01/02 00:00:00.000;Aliso;0
ALCO;2024/01/02 00:00:00.000;Arce;0
ALCO;2024/01/02 00:00:00.000;Artemisia;0
ALCO;2024/01/02 00:00:00.000;Castaño;0
ALCO;2024/01/02 00:00:00.000;Compuestas;0
ALCO;2024/01/02 00:00:00.000;Corylus;0
ALCO;2024/01/02 00:00:00.000;Cupresáceas/Taxáceas;401
ALCO;2024/01/02 00:00:00.000;Ericaceae;0
ALCO;2024/01/02 00:00:00.000;Eucalipto;0
ALCO;2024/01/02 00:00:00.000;Fresno;0
ALCO;2024/01/02 00:00:00.000;Gramíneas;0
ALCO;2024/01/02 00:00:00.000;Moreras;0
ALCO;2024/01/02 00:00:00.000;Olivo;0
ALCO;2024/01/02 00:00:00.000;Olmos;0
ALCO;2024/01/02 00:00:00.000;Otros;0
ALCO;2024/01/02 00:00:00.000;Pinos;0
ALCO;2024/01/02 00:00:00.000;Plantago;0
ALCO;2024/01/02 00:00:00.000;Plátano de paseo;0
ALCO;2024/01/02 00:00:00.000;PNI (Polen no identificado);1
ALCO;2024/01/02 00:00:00.000;Populus;0
ALCO;2024/01/02 00:00:00.000;Quenopodiáceas/Amarantáceas;0
ALCO;2024/01/02 00:00:00.000;Quercus;0
ALCO;2024/01/02 00:00:00.000;Rumex (Acederas);0
ALCO;2024/01/02 00:00:00.000;Sauces;0
ALCO;2024/01/02 00:00:00.000;Urticaceae (Ortigas);2
ALCO;2024/01/03 00:00:00.000;Abedul;0
ALCO;2024/01/03 00:00:00.000;Aligustre;0
ALCO;2024/01/03 00:00:00.000;Aliso;1
ALCO;2024/01/03 00:00:00.000;Arce;0
ALCO;2024/01/03 00:00:00.000;Artemisia;0
ALCO;2024/01/03 00:00:00.000;Castaño;0
ALCO;2024/01/03 00:00:00.000;Compuestas;0
ALCO;2024/01/03 00:00:00.000;Corylus;0
ALCO;2024/01/03 00:00:00.000;Cupresáceas/Taxáceas;9
ALCO;2024/01/03 00:00:00.000;Ericaceae;0
ALCO;2024/01/03 00:00:00.000;Eucalipto;0
ALCO;2024/01/03 00:00:00.000;Fresno;0
ALCO;2024/01/03 00:00:00.000;Gramíneas;1
ALCO;2024/01/03 00:00:00.000;Moreras;0
ALCO;2024/01/03 00:00:00.000;Olivo;0
ALCO;2024/01/03 00:00:00.000;Olmos;0
ALCO;2024/01/03 00:00:00.000;Otros;0
ALCO;2024/01/03 00:00:00.000;Pinos;0
ALCO;2024/01/03 00:00:00.000;Plantago;0
ALCO;2024/01/03 00:00:00.000;Plátano de paseo;0
ALCO;2024/01/03 00:00:00.000;PNI (Polen no identificado);1
ALCO;2024/01/03 00:00:00.000;Populus;0
ALCO;2024/01/03 00:00:00.000;Quenopodiáceas/Amarantáceas;0
ALCO;2024/01/03 00:00:00.000;Quercus;0
ALCO;2024/01/03 00:00:00.000;Rumex (Acederas);0
ALCO;2024/01/03 00:00:00.000;Sauces;0
ALCO;2024/01/03 00:00:00.000;Urticaceae (Ortigas);0
ALCO;2024/01/04 00:00:00.000;Abedul;0
ALCO;2024/01/04 00:00:00.000;Aligustre;0
ALCO;2024/01/04 00:00:00.000;Aliso;1
ALCO;2024/01/04 00:00:00.000;Arce;0
ALCO;2024/01/04 00:00:00.000;Artemisia;0
ALCO;2024/01/04 00:00:00.000;Castaño;0
ALCO;2024/01/04 00:00:00.000;Compuestas;0
ALCO;2024/01/04 00:00:00.000;Corylus;0
ALCO;2024/01/04 00:00:00.000;Cupresáceas/Taxáceas;10
ALCO;2024/01/04 00:00:00.000;Ericaceae;0
ALCO;2024/01/04 00:00:00.000;Eucalipto;0
ALCO;2024/01/04 00:00:00.000;Fresno;2
ALCO;2024/01/04 00:00:00.000;Gramíneas;0
ALCO;2024/01/04 00:00:00.000;Moreras;0
ALCO;2024/01/04 00:00:00.000;Olivo;0
ALCO;2024/01/04 00:00:00.000;Olmos;0
ALCO;2024/01/04 00:00:00.000;Otros;0
ALCO;2024/01/04 00:00:00.000;Pinos;0
ALCO;2024/01/04 00:00:00.000;Plantago;0
ALCO;2024/01/04 00:00:00.000;Plátano de paseo;0
ALCO;2024/01/04 00:00:00.000;PNI (Polen no identificado);1
ALCO;2024/01/04 00:00:00.000;Populus;0
ALCO;2024/01/04 00:00:00.000;Quenopodiáceas/Amarantáceas;0
ALCO;2024/01/04 00:00:00.000;Quercus;0
ALCO;2024/01/04 00:00:00.000;Rumex (Acederas);0
ALCO;2024/01/04 00:00:00.000;Sauces;0
ALCO;2024/01/04 00:00:00.000;Urticaceae (Ortigas);0
ALCO;2024/01/05 00:00:00.000;Abedul;0
ALCO;2024/01/05 00:00:00.000;Aligustre;0
ALCO;2024/01/05 00:00:00.000;Aliso;1
ALCO;2024/01/05 00:00:00.000;Arce;0
ALCO;2024/01/05 00:00:00.000;Artemisia;0
ALCO;2024/01/05 00:00:00.000;Castaño;0
ALCO;2024/01/05 00:00:00.000;Compuestas;0
ALCO;2024/01/05 00:00:00.000;Corylus;0
ALCO;2024/01/05 00:00:00.000;Cupresáceas/Taxáceas;404
ALCO;2024/01/05 00:00:00.000;Ericaceae;0
ALCO;2024/01/05 00:00:00.000;Eucalipto;0
ALCO;2024/01/05 00:00:00.000;Fresno;6
ALCO;2024/01/05 00:00:00.000;Gramíneas;1
ALCO;2024/01/05 00:00:00.000;Moreras;0
ALCO;2024/01/05 00:00:00.000;Olivo;0
ALCO;2024/01/05 00:00:00.000;Olmos;0
ALCO;2024/01/05 00:00:00.000;Otros;1
ALCO;2024/01/05 00:00:00.000;Pinos;0
ALCO;2024/01/05 00:00:00.000;Plantago;0
ALCO;2024/01/05 00:00:00.000;Plátano de paseo;0
ALCO;2024/01/05 00:00:00.000;PNI (Polen no identificado);1
ALCO;2024/01/05 00:00:00.000;Populus;0
ALCO;2024/01/05 00:00:00.000;Quenopodiáceas/Amarantáceas;0
ALCO;2024/01/05 00:00:00.000;Quercus;0
ALCO;2024/01/05 00:00:00.000;Rumex (Acederas);0
ALCO;2024/01/05 00:00:00.000;Sauces;0
ALCO;2024/01/05 00:00:00.000;Urticaceae (Ortigas);5
ALCO;2024/01/06 00:00:00.000;Abedul;0
ALCO;2024/01/06 00:00:00.000;Aligustre;0
ALCO;2024/01/06 00:00:00.000;Aliso;2
ALCO;2024/01/06 00:00:00.000;Arce;0
ALCO;2024/01/06 00:00:00.000;Artemisia;0
ALCO;2024/01/06 00:00:00.000;Castaño;0
ALCO;2024/01/06 00:00:00.000;Compuestas;0
ALCO;2024/01/06 00:00:00.000;Corylus;0
ALCO;2024/01/06 00:00:00.000;Cupresáceas/Taxáceas;64
ALCO;2024/01/06 00:00:00.000;Ericaceae;0
ALCO;2024/01/06 00:00:00.000;Eucalipto;0
ALCO;2024/01/06 00:00:00.000;Fresno;2
ALCO;2024/01/06 00:00:00.000;Gramíneas;0
