time,temperature_2m (°C),wind_speed_10m (km/h),wind_gusts_10m (km/h),relative_humidity_2m (%),wind_direction_10m (°),et0_fao_evapotranspiration (mm),dew_point_2m (°C),rain (mm),soil_moisture_0_to_1cm (m³/m³),soil_moisture_1_to_3cm (m³/m³),soil_moisture_3_to_9cm (m³/m³),soil_temperature_0cm (°C),soil_temperature_6cm (°C),vapour_pressure_deficit (kPa),cloud_cover (%),shortwave_radiation (W/m²)
2023-01-01T00:00,6.7,4.2,10.8,76,31,0.00,2.8,0.00,0.281,0.282,0.284,6.0,7.5,0.24,60,0.0
2023-01-01T01:00,6.4,4.7,10.4,77,32,0.00,2.7,0.00,0.281,0.282,0.284,5.9,7.3,0.22,78,0.0
2023-01-01T02:00,6.4,4.4,10.8,75,35,0.00,2.3,0.00,0.281,0.282,0.284,5.7,7.2,0.24,81,0.0
2023-01-01T03:00,6.3,4.7,11.2,73,32,0.00,1.8,0.00,0.282,0.282,0.285,5.8,7.1,0.26,81,0.0
2023-01-01T04:00,6.2,4.5,10.8,75,29,0.00,2.1,0.00,0.282,0.283,0.285,5.7,7.0,0.24,77,0.0
2023-01-01T05:00,6.2,4.3,10.4,74,42,0.00,1.9,0.00,0.282,0.283,0.285,5.6,6.9,0.25,83,0.0
2023-01-01T06:00,6.7,4.3,11.2,75,42,0.00,2.5,0.00,0.282,0.283,0.285,6.4,7.1,0.25,94,0.0
2023-01-01T07:00,6.7,4.7,11.2,73,32,0.00,2.2,0.00,0.282,0.283,0.285,6.1,7.1,0.27,80,0.0
2023-01-01T08:00,6.8,4.8,11.9,71,42,0.03,1.9,0.00,0.283,0.283,0.286,6.0,7.0,0.29,89,2.0
2023-01-01T09:00,7.3,4.6,11.5,69,39,0.03,2.0,0.00,0.283,0.283,0.286,7.6,7.1,0.32,97,63.0
2023-01-01T10:00,9.0,4.3,10.4,59,48,0.08,1.4,0.00,0.282,0.283,0.286,10.6,8.1,0.47,99,163.0
2023-01-01T11:00,10.8,3.2,11.2,46,63,0.12,-0.4,0.00,0.282,0.283,0.286,12.5,9.6,0.70,98,238.0
2023-01-01T12:00,11.6,4.3,13.0,40,85,0.14,-1.5,0.00,0.281,0.282,0.286,14.2,10.7,0.82,100,244.0
2023-01-01T13:00,12.8,4.6,13.0,37,108,0.18,-1.6,0.00,0.279,0.281,0.285,15.9,12.0,0.93,100,333.0
2023-01-01T14:00,13.7,5.9,15.8,42,128,0.20,1.0,0.00,0.278,0.281,0.285,16.2,13.0,0.91,53,364.0
2023-01-01T15:00,14.3,7.6,19.4,43,149,0.17,1.9,0.00,0.277,0.280,0.284,15.1,13.4,0.93,46,304.0
